id,adjacency,mean_break_length_nucleotide,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,parallel_break_score,number_of_parallel_breaks,tree_consistent
1,191t-490t,542,0.41229531459999996,1,5,1.6123146779999995,9,False
2,221h-244h,2007,0.39676493729999995,3,11,2.2257826718000007,15,False
3,284h-306t,1426,0.3640380629,2,10,0.9551626025999999,11,False
4,183h-421t,2489,0.28356865689999994,3,10,2.829494011799999,13,False
5,34h-70h,12265,0.2646081574,1,4,6.645068208999997,19,False
6,165h-166t,680,0.2334682064,1,4,0.9076778898,7,False
7,276h-277t,2774,0.22278197989999998,1,4,3.3091592549000004,14,False
8,283h-284t,1735,0.2186330599,1,4,1.2634016138,9,False
9,397h-472t,32907,0.21722186100000002,2,7,4.525779106000002,23,False
10,398h-399t,5504,0.19595385809999996,1,4,3.792537316299999,14,False
11,356h-403h,5885,0.1800205546,1,5,1.3544480517999997,13,False
12,384h-385t,29099,0.12043615360000001,3,7,9.532821615300001,28,False
13,222h-223h,426,0.11906206180000001,1,3,0.3778822072,5,False
14,423h-426t,6694,0.11837484179999999,1,3,2.3243545287999994,11,False
15,224h-365t,2043,0.1129320223,4,10,3.1884038425999996,20,False
16,122t-447h,5141,0.11165789179999999,2,6,2.1371738114000003,15,False
17,191h-259h,2229,0.1101574256,1,3,0.8650050255999999,8,False
18,131t-418h,6762,0.1072431818,3,8,7.197065002599995,22,False
19,395h-397t,7848,0.1056727582,1,3,1.2824396848000004,9,False
20,110h-111t,258,0.0991518905,2,5,0.5899842750000001,6,False
21,280t-455t,1873,0.0914350076,1,3,1.5398134074,11,False
22,231h-232t,1481,0.087255156,1,3,0.7794314355999999,7,False
23,381h-382t,1070,0.0666187748,1,2,0.0666187748,2,False
24,29h-31t,1076,0.0666187748,1,2,0.0666187748,2,False
25,160h-161t,4805,0.066393518,1,2,2.3437065171,12,False
26,170t-80t,11652,0.05983461700000001,2,5,0.9722789708,11,False
27,19h-306h,6736,0.05774171819999999,3,7,1.7990010390000004,12,False
28,170h-484h,7768,0.0544329016,1,3,1.0765411131999998,11,False
29,129t-474h,4902,0.0542033226,1,3,1.3833676887999997,13,False
30,122h-82h,17614,0.053887054399999995,1,3,0.6755231528,10,False
31,223t-224t,368,0.0483111979,1,2,0.5872831191999999,6,False
32,292h-399h,1915,0.0479779352,1,3,1.7167480068000005,14,False
33,271t-308t,4493,0.044445020599999996,2,4,0.7021012573999998,9,False
34,163h-164t,2650,0.039769008700000004,1,2,1.1798998882000002,8,False
35,392h-468h,3408,0.0347372599,1,2,0.33943994060000005,5,False
36,226h-227t,512,0.0345405133,1,2,0.06908102660000001,3,False
37,279h-282h,6045,0.033375227800000004,2,5,3.187465045500001,16,False
38,295h-394h,557,0.0324981986,1,2,0.122997159,3,False
39,351t-94h,2523,0.0296907347,1,2,2.1135703142000004,11,False
40,18h-19t,164,0.026104073300000002,1,2,0.052208146600000005,3,False
41,225t-492h,2542,0.025259241900000003,1,2,1.4775428119000003,10,False
