id,adjacency,mean_break_length_nucleotide,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,parallel_break_score,number_of_parallel_breaks,tree_consistent
1,391h-392t,743,0.0820396736,1,3,0.2052224298,4,False
2,117h-118t,719,0.04831152069999999,1,2,0.7710023986,8,False
3,1t-415h,3831,0.0447581197,1,2,2.7563840755999998,13,False
4,372h-376t,19024,0.0420683515,2,4,1.1284794284,9,False
5,141t-153h,2813,0.0406128932,2,4,1.3315153777999997,13,False
6,361h-362t,231,0.0388220387,1,2,0.2467408098,4,False
7,270h-271t,4538,0.036274548700000006,1,2,0.6552707587000002,6,False
8,246h-247t,7215,0.036274548700000006,1,2,0.5970167919999999,7,False
9,401h-403t,2879,0.0343185299,1,2,1.5742792004000001,10,False
10,262h-263t,2285,0.0343185299,1,2,0.3570603531999999,5,False
11,101t-99h,3751,0.0343016492,1,2,0.35470445320000005,5,False
12,188h-193t,27957,0.024201878500000003,1,2,2.3802426383999995,13,False
13,413h-415t,4582,0.021740615799999998,1,2,0.7982727256999999,8,False
14,288h-292t,8486,0.0187162718,1,2,0.8325171993999999,9,False
15,8h-9t,1793,0.0163376488,1,2,0.06541769920000001,3,False
16,141h-181t,2807,0.0097111985,1,2,1.2305992311999994,12,False
17,272h-274t,17409,0.007913216899999999,1,2,1.2656755253999998,9,False
18,279h-280t,815,0.007913216899999999,1,2,0.2357188815,4,False
19,321h-322t,1478,0.007838447200000001,2,4,0.669666232,7,False
20,330h-331t,1305,0.007838447200000001,2,4,0.22021705180000006,5,False
21,105h-107t,884,0.0071070447,1,2,0.5260760608000001,7,False
22,407h-411t,9396,0,0,0,0.8584959529,8,False
23,357h-361t,4060,0,0,0,0.8473726717999999,7,False
24,197h-200t,9610,0,0,0,0.7328304464,7,False
25,87h-88t,21865,0,0,0,0.7168939548,7,False
26,292h-294t,3173,0,0,0,0.5944944836,6,False
27,280h-281t,1529,0,0,0,0.5780173647,6,False
28,253h-254t,1860,0,0,0,0.5547541230999999,6,False
29,348h-349t,11389,0,0,0,0.5011684549000001,6,False
30,344h-345t,1566,0,0,0,0.4680963448,5,False
31,239h-240t,4305,0,0,0,0.43330644760000003,6,False
32,225t-227t,3167,0,0,0,0.4244470598000001,6,False
33,356h-357t,3042,0,0,0,0.395979729,5,False
34,393h-394t,1341,0,0,0,0.39036053779999996,5,False
35,59h-60t,447,0,0,0,0.351829796,5,False
36,327h-328t,6860,0,0,0,0.34223714959999996,5,False
37,240h-241t,2926,0,0,0,0.33608769079999995,5,False
38,61h-62t,1670,0,0,0,0.33052475940000003,5,False
39,82h-83t,3822,0,0,0,0.32813511219999997,5,False
40,376h-382t,6746,0,0,0,0.3176401686,6,False
41,41h-43t,5174,0,0,0,0.2771739132,4,False
42,367h-369t,3356,0,0,0,0.2636054361,4,False
43,57h-60h,1397,0,0,0,0.2565706783,6,False
44,220h-226h,8563,0,0,0,0.245825898,5,False
45,134h-136t,2926,0,0,0,0.24384364099999997,4,False
46,112h-113t,2505,0,0,0,0.2225623127,4,False
47,34h-35t,4125,0,0,0,0.19869241590000003,4,False
48,260h-261t,1355,0,0,0,0.1968470178,4,False
49,400h-401t,1398,0,0,0,0.19471769660000002,4,False
50,13t-9h,6192,0,0,0,0.19162929430000003,4,False
51,230h-231t,1595,0,0,0,0.19159827039999996,5,False
52,46h-50t,6734,0,0,0,0.18851195799999998,4,False
53,266h-268t,6967,0,0,0,0.1864333272,4,False
54,104h-105t,590,0,0,0,0.1843639857,4,False
55,285h-287t,4487,0,0,0,0.1722516766,4,False
56,62h-63t,3563,0,0,0,0.1472488484,3,False
57,307h-309t,2616,0,0,0,0.14468776439999997,3,False
58,85h-86t,5549,0,0,0,0.14447578860000002,3,False
59,200h-201t,1422,0,0,0,0.1399621954,3,False
60,78h-79t,2062,0,0,0,0.1340845966,3,False
61,304h-305t,1085,0,0,0,0.13347074579999998,3,False
62,4h-5t,2398,0,0,0,0.1331400954,3,False
63,119h-120t,3399,0,0,0,0.12516002,3,False
64,136h-137t,1435,0,0,0,0.1245310184,3,False
65,182h-183t,3721,0,0,0,0.12417533,3,False
66,274h-278t,6057,0,0,0,0.12363517639999999,3,False
67,384h-385t,369,0,0,0,0.11995340639999999,3,False
68,15h-16t,2389,0,0,0,0.11995340639999999,3,False
69,225h-226t,2209,0,0,0,0.1155353644,3,False
70,118h-119t,2106,0,0,0,0.1155353644,3,False
71,390h-391t,1306,0,0,0,0.112008995,3,False
72,185h-186t,1527,0,0,0,0.11074369639999998,3,False
73,201h-202t,5197,0,0,0,0.10616154179999998,3,False
74,387h-389t,3721,0,0,0,0.1061546272,4,False
75,149h-240h,67,0,0,0,0.09861328999999999,3,False
76,299h-300t,2052,0,0,0,0.0950570274,3,False
77,250h-253t,7584,0,0,0,0.09085340830000001,4,False
78,231h-233t,2200,0,0,0,0.07881503819999999,3,False
79,243h-245t,2726,0,0,0,0.07788736159999998,3,False
80,283h-284t,1303,0,0,0,0.0776195494,3,False
81,203h-204t,1555,0,0,0,0.0726536482,3,False
82,264h-265t,3045,0,0,0,0.070986104,3,False
83,26h-27t,3257,0,0,0,0.0696711312,3,False
84,254h-255t,2092,0,0,0,0.0678686782,3,False
85,196h-197t,836,0,0,0,0.0598966731,2,False
86,40h-41t,631,0,0,0,0.0546611352,2,False
87,398h-399t,569,0,0,0,0.0546611352,2,False
88,228h-229t,1054,0,0,0,0.0546611352,2,False
89,237h-238t,605,0,0,0,0.05374274060000001,2,False
90,59t-61t,648,0,0,0,0.053177963999999994,4,False
91,57h-59t,1917,0,0,0,0.0515593794,3,False
92,24h-25t,810,0,0,0,0.051386095000000014,2,False
93,54h-55t,2330,0,0,0,0.0501988469,2,False
94,132h-133t,2002,0,0,0,0.0501988469,2,False
95,152h-153t,956,0,0,0,0.04842771840000001,2,False
96,129h-130t,1189,0,0,0,0.04733256240000001,2,False
97,65h-66t,1582,0,0,0,0.045446387399999996,2,False
98,39h-40t,1317,0,0,0,0.045446387399999996,2,False
99,17h-18t,1221,0,0,0,0.045446387399999996,2,False
100,5h-6t,883,0,0,0,0.044580241799999996,2,False
101,395h-396t,580,0,0,0,0.042800229300000006,2,False
102,92h-94t,1022,0,0,0,0.0425720847,2,False
103,364h-366t,2909,0,0,0,0.0423888663,2,False
104,263h-264t,719,0,0,0,0.0423888663,2,False
105,255h-256t,2797,0,0,0,0.042069825299999995,2,False
106,256h-257t,428,0,0,0,0.041396481400000004,2,False
107,204h-205t,258,0,0,0,0.038634831999999994,2,False
108,131h-132t,501,0,0,0,0.03709925559999999,2,False
109,98h-99t,943,0,0,0,0.036933868599999996,2,False
110,346h-347t,463,0,0,0,0.0365602799,2,False
111,31h-32t,2167,0,0,0,0.0342922085,2,False
112,366h-367t,1083,0,0,0,0.0336642623,2,False
113,227h-228t,1,0,0,0,0.0308139528,3,False
114,258h-259t,1076,0,0,0,0.0288525835,2,False
115,316h-317t,1655,0,0,0,0.022578434600000002,2,False
116,101h-102t,274,0,0,0,0.013783760199999998,2,False
117,229h-230t,1217,0,0,0,0.0061992878,2,False
118,241h-242t,1750,0,0,0,0.0037937183000000003,2,False
119,38h-39t,540,0,0,0,4.957e-07,2,False
120,90h-91t,653,0,0,0,0,1,True
121,89h-90t,587,0,0,0,0,1,True
122,86h-87t,1540,0,0,0,0,0,True
123,83h-84t,202,0,0,0,0,1,True
