block,genome,chr/contig,start,end,orientation,length
1006,NZ_OX366338,1,836412,837480,+,1068
1006,NZ_OX366338,1,1026882,1027956,+,1074
1005,NZ_OX366348,1,356178,357274,+,1096
1005,NZ_CP054557,1,298542,299638,-,1096
1004,NZ_OX366348,1,353617,354855,+,1238
1004,NZ_CP054557,1,301090,302342,-,1252
1003,NZ_OX366374,1,640741,641384,+,643
1003,NZ_OX366374,1,738029,738672,+,643
1002,NZ_OX366374,1,375507,376469,+,962
1002,NZ_OX366374,1,698814,699777,-,963
1001,NZ_CP072012,1,171163,173065,+,1902
1001,NZ_OX366397,1,1129568,1131470,-,1902
1000,NZ_OX366388,1,385718,386501,+,783
1000,NZ_OX366397,1,525848,526617,+,769
999,NZ_OX366388,1,382776,383377,+,601
999,NZ_OX366397,1,522915,523516,+,601
998,NZ_OX366377,1,1002357,1003364,+,1007
998,NZ_OX366398,1,443444,444451,-,1007
998,NZ_OX366389,1,1339856,1340863,-,1007
997,NZ_OX366377,1,784109,785214,+,1105
997,NZ_OX366398,1,1070968,1072073,+,1105
997,NZ_OX366389,1,579919,581024,+,1105
997,NZ_OX366348,1,867922,869027,+,1105
997,NZ_CP054557,1,509659,510763,-,1104
996,NZ_OX366377,1,741423,742309,+,886
996,NZ_OX366398,1,1271725,1272611,+,886
996,NZ_OX366389,1,454044,454932,-,888
996,NZ_OX366389,1,885101,885987,-,886
995,NZ_OX366377,1,738306,738987,+,681
995,NZ_OX366398,1,1268608,1269289,+,681
994,NZ_OX366377,1,736671,737546,+,875
994,NZ_OX366398,1,1266973,1267848,+,875
994,NZ_OX366389,1,458809,459684,-,875
994,NZ_OX366389,1,889864,890739,-,875
993,NZ_OX366377,1,735135,735710,+,575
993,NZ_OX366398,1,1265437,1266012,+,575
993,NZ_OX366389,1,460646,461221,-,575
993,NZ_OX366389,1,891701,892276,-,575
992,NZ_OX366356,1,496974,497522,+,548
992,NZ_OX366388,1,1068300,1068848,+,548
991,NZ_OX366342,1,1184584,1185491,+,907
991,NZ_OX366338,1,994442,995350,-,908
990,NZ_OX366342,1,139206,140607,+,1401
990,NZ_OX366397,1,596508,597900,+,1392
989,NZ_OX366342,1,137763,139077,+,1314
989,NZ_OX366397,1,595066,596379,+,1313
988,NZ_OX366342,1,137110,137762,+,652
988,NZ_OX366357,1,1350735,1351287,-,552
988,NZ_OX366397,1,594514,595065,+,551
987,NZ_OX366395,1,491813,492428,+,615
987,NZ_OX366397,1,458974,459579,+,605
986,NZ_OX366395,1,216779,218202,+,1423
986,NZ_OX366395,1,1173582,1175005,+,1423
985,NZ_OX366395,1,196201,197180,+,979
985,NZ_OX366395,1,485543,486522,+,979
984,NZ_OX366370,1,1190464,1193431,+,2967
984,NZ_CP072012,1,203603,206570,-,2967
984,NZ_CP072012,1,804420,807388,+,2968
983,NZ_OX366370,1,829684,830919,+,1235
983,NZ_OX366370,1,950877,952112,+,1235
982,NZ_OX366370,1,714897,715575,+,678
982,NZ_OX366395,1,522821,523491,+,670
982,NZ_OX366351,1,901467,902145,+,678
982,NZ_OX366389,1,442842,443520,+,678
982,NZ_OX366389,1,1007380,1008058,+,678
981,NZ_OX366370,1,683843,684352,+,509
981,NZ_OX366370,1,1255886,1256395,+,509
980,NZ_OX366370,1,678483,679746,+,1263
980,NZ_OX366370,1,1250526,1251789,+,1263
979,NZ_OX366370,1,260379,260980,+,601
979,NZ_OX366370,1,732907,733510,+,603
978,NZ_OX366370,1,258199,259830,+,1631
