block,genome,chr/contig,start,end,orientation,length
880,WOLB.0323.00014,1,972502,973580,+,1078
880,WOLB.0323.00014,1,1031908,1032986,+,1078
879,WOLB.0323.00070,1,1209252,1209988,+,736
879,WOLB.0323.00042,1,1109615,1110351,+,736
878,WOLB.0323.00070,1,801806,803605,+,1799
878,WOLB.0323.00070,1,1226416,1228215,-,1799
877,WOLB.0323.00070,1,741485,742726,+,1241
877,WOLB.0323.00014,1,982307,983556,+,1249
877,WOLB.0323.00014,1,1041713,1042962,+,1249
876,WOLB.0323.00070,1,733245,740477,+,7232
876,WOLB.0323.00014,1,973912,981145,+,7233
876,WOLB.0323.00014,1,1033318,1040551,+,7233
875,WOLB.0323.00100,1,714200,714784,+,584
875,WOLB.0323.00100,1,775434,776018,+,584
874,WOLB.0323.00007,1,1122126,1122670,+,544
874,WOLB.0323.00014,1,1321074,1321618,+,544
873,WOLB.0323.00010,1,664974,671382,+,6408
873,WOLB.0323.00010,1,1236319,1242725,+,6406
872,WOLB.0323.00010,1,503499,504178,+,679
872,WOLB.0323.00010,1,916662,917338,-,676
871,WOLB.0323.00010,1,499811,500627,+,816
871,WOLB.0323.00010,1,500634,501584,+,950
871,WOLB.0323.00010,1,501591,502439,+,848
871,WOLB.0323.00010,1,502446,503396,+,950
871,WOLB.0323.00010,1,917519,918293,-,774
871,WOLB.0323.00010,1,918398,919168,-,770
870,WOLB.0323.00010,1,497127,499809,+,2682
870,WOLB.0323.00010,1,919185,921911,-,2726
869,WOLB.0323.00010,1,493422,494094,+,672
869,WOLB.0323.00010,1,924132,924786,-,654
869,WOLB.0323.00010,1,929024,929694,-,670
868,WOLB.0323.00010,1,485654,486497,+,843
868,WOLB.0323.00010,1,488630,489474,+,844
868,WOLB.0323.00010,1,491607,492601,+,994
868,WOLB.0323.00010,1,925471,926602,-,1131
868,WOLB.0323.00010,1,930241,931372,-,1131
868,WOLB.0323.00010,1,935412,936548,-,1136
867,WOLB.0323.00018,1,906259,907211,+,952
867,WOLB.0323.00042,1,791040,791954,+,914
866,WOLB.0323.00004,1,552868,554462,+,1594
866,WOLB.0323.00011,1,1263434,1265042,+,1608
866,WOLB.0323.00032,1,61840,63434,+,1594
866,WOLB.0323.00032,1,1514842,1516437,-,1595
866,WOLB.0323.00158,1,1207335,1208929,+,1594
866,WOLB.0323.00104,1,425206,426801,-,1595
866,WOLB.0323.00149,1,1334338,1335932,+,1594
865,WOLB.0323.00122,1,1135004,1136149,+,1145
865,WOLB.0323.00010,1,938046,939196,+,1150
865,WOLB.0323.00128,1,491098,492249,-,1151
865,WOLB.0323.00070,1,1359981,1361132,+,1151
865,WOLB.0323.00042,1,598049,599194,+,1145
864,WOLB.0323.00122,1,284830,285687,+,857
864,WOLB.0323.00122,1,1288863,1289718,+,855
864,WOLB.0323.00122,1,1422894,1423751,+,857
864,WOLB.0323.00122,1,1442153,1443009,-,856
863,WOLB.0323.00043,1,1100160,1102350,+,2190
863,WOLB.0323.00014,1,1094141,1096348,+,2207
862,WOLB.0323.00043,1,616670,618540,+,1870
862,WOLB.0323.00007,1,882840,884701,+,1861
861,WOLB.0323.00043,1,472669,473321,+,652
861,WOLB.0323.00010,1,940738,941407,-,669
861,WOLB.0323.00128,1,488897,489549,+,652
861,WOLB.0323.00070,1,1362681,1363333,-,652
860,WOLB.0323.00043,1,470562,472654,+,2092
860,WOLB.0323.00010,1,941424,943508,-,2084
860,WOLB.0323.00128,1,486797,488882,+,2085
860,WOLB.0323.00070,1,1363348,1365432,-,2084
860,WOLB.0323.00014,1,1217954,1220038,-,2084
859,WOLB.0323.00043,1,456672,459082,+,2410
859,WOLB.0323.00010,1,954807,957212,-,2405
859,WOLB.0323.00128,1,483272,485681,-,2409
859,WOLB.0323.00070,1,1378302,1380711,-,2409
859,WOLB.0323.00014,1,1390278,1392687,-,2409
858,WOLB.0323.00021,1,1209626,1210314,+,688
858,WOLB.0323.00070,1,797360,798048,-,688
858,WOLB.0323.00070,1,1231973,1232661,+,688
857,WOLB.0323.00021,1,368225,368871,+,646
857,WOLB.0323.00068,1,1205978,1206623,-,645
857,WOLB.0323.00042,1,1157602,1158247,-,645
856,WOLB.0323.00021,1,367387,368224,+,837
856,WOLB.0323.00020,1,550761,551613,-,852
856,WOLB.0323.00068,1,1206625,1207462,-,837
856,WOLB.0323.00042,1,1158249,1159086,-,837
855,WOLB.0323.00021,1,364809,366499,+,1690
855,WOLB.0323.00068,1,1208349,1209928,-,1579
855,WOLB.0323.00042,1,1159973,1161553,-,1580
854,WOLB.0323.00084,1,1248997,1249591,+,594
854,WOLB.0323.00122,1,322091,322686,-,595
854,WOLB.0323.00010,1,673553,674146,+,593
854,WOLB.0323.00010,1,1244936,1245530,+,594
853,WOLB.0323.00084,1,1240704,1242160,+,1456
853,WOLB.0323.00122,1,329521,330977,-,1456
852,WOLB.0323.00084,1,160862,163216,+,2354
852,WOLB.0323.00007,1,805816,808057,+,2241
851,WOLB.0323.00133,1,233367,234396,+,1029
851,WOLB.0323.00118,1,632988,634042,-,1054
850,WOLB.0323.00030,1,1117230,1117998,+,768
850,WOLB.0323.00100,1,679468,680237,-,769
850,WOLB.0323.00100,1,740702,741471,-,769
849,WOLB.0323.00030,1,1084196,1085121,+,925
849,WOLB.0323.00007,1,1099819,1100771,+,952
849,WOLB.0323.00042,1,556094,557042,+,948
849,WOLB.0323.00014,1,866826,867766,+,940
848,WOLB.0323.00030,1,446177,451289,+,5112
848,WOLB.0323.00118,1,1097691,1102803,-,5112
847,WOLB.0323.00064,1,1444009,1447881,+,3872
847,WOLB.0323.00030,1,1119566,1123465,-,3899
846,WOLB.0323.00064,1,1441133,1443835,+,2702
846,WOLB.0323.00030,1,1123639,1126341,-,2702
845,WOLB.0323.00064,1,1370299,1371382,+,1083
845,WOLB.0323.00030,1,1536501,1537584,-,1083
844,WOLB.0323.00064,1,1226159,1226812,+,653
844,WOLB.0323.00030,1,1682888,1683541,-,653
843,WOLB.0323.00064,1,450441,451552,+,1111
843,WOLB.0323.00064,1,684082,685193,+,1111
842,WOLB.0323.00064,1,447354,449742,+,2388
842,WOLB.0323.00064,1,680995,683383,+,2388
841,WOLB.0323.00064,1,443785,445504,+,1719
841,WOLB.0323.00064,1,677426,679145,+,1719
840,WOLB.0323.00064,1,383898,384495,+,597
840,WOLB.0323.00030,1,406587,407184,-,597
840,WOLB.0323.00118,1,1091342,1091939,-,597
839,WOLB.0323.00064,1,338151,342133,+,3982
839,WOLB.0323.00010,1,424987,428785,-,3798
838,WOLB.0323.00064,1,337432,338150,+,718
838,WOLB.0323.00010,1,429049,429767,-,718
837,WOLB.0323.00064,1,332560,335649,+,3089
837,WOLB.0323.00010,1,431688,434776,-,3088
836,WOLB.0323.00024,1,2072309,2072896,+,587
836,WOLB.0323.00024,1,2142982,2143569,+,587
836,WOLB.0323.00133,1,268936,269524,-,588
835,WOLB.0323.00024,1,1641441,1642336,+,895
835,WOLB.0323.00043,1,745548,746443,+,895
835,WOLB.0323.00025,1,931331,932242,+,911
835,WOLB.0323.00010,1,549918,550813,+,895
835,WOLB.0323.00042,1,990459,991354,+,895
835,WOLB.0323.00042,1,1165495,1166390,-,895
835,WOLB.0323.00042,1,1533790,1534685,-,895
835,WOLB.0323.00042,1,1683531,1684426,-,895
834,WOLB.0323.00024,1,1556304,1556962,+,658
834,WOLB.0323.00064,1,626166,626816,+,650
834,WOLB.0323.00030,1,881011,881660,-,649
833,WOLB.0323.00024,1,923976,924591,+,615
833,WOLB.0323.00014,1,361030,361645,+,615
833,WOLB.0323.00014,1,1310976,1311591,-,615
832,WOLB.0323.00024,1,232348,233597,+,1249
832,WOLB.0323.00064,1,1235834,1237083,-,1249
832,WOLB.0323.00030,1,1672596,1673844,+,1248
832,WOLB.0323.00018,1,1215911,1216768,-,857
831,WOLB.0323.00008,1,406165,406683,+,518
831,WOLB.0323.00008,1,655051,655569,+,518
831,WOLB.0323.00008,1,732760,733277,-,517
830,WOLB.0323.00008,1,229141,230425,+,1284
830,WOLB.0323.00030,1,372751,374032,+,1281
829,WOLB.0323.00008,1,219703,220709,+,1006
829,WOLB.0323.00021,1,1214322,1215328,+,1006
829,WOLB.0323.00007,1,925616,926622,+,1006
829,WOLB.0323.00014,1,1228582,1229588,+,1006
828,WOLB.0323.00088,1,723933,725011,+,1078
828,WOLB.0323.00020,1,664829,665907,+,1078
828,WOLB.0323.00035,1,661067,662145,+,1078
828,WOLB.0323.00012,1,728035,729113,+,1078
828,WOLB.0323.00104,1,697490,698568,+,1078
828,WOLB.0323.00100,1,1046483,1047561,+,1078
827,WOLB.0323.00088,1,608004,608508,+,504
827,WOLB.0323.00020,1,541549,542053,+,504
827,WOLB.0323.00035,1,543119,543623,+,504
