gembase_name	orig_name	to_annotate	gsize	nb_conts	L90
WOLB.0323.00001	Wolbachia/tmp_files/GCF_004171285.1_ASM417128v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_004171285.1_ASM417128v1_genomic.fna_prepare-split5N.fna	1484007	1	1
WOLB.0323.00002	Wolbachia/tmp_files/GCF_947250635.1_ilParStra1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947250635.1_ilParStra1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1545408	1	1
WOLB.0323.00003	Wolbachia/tmp_files/GCF_947251725.1_iyTipFemo1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251725.1_iyTipFemo1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1330165	1	1
WOLB.0323.00004	Wolbachia/tmp_files/GCF_947250815.1_ilPolCalb1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947250815.1_ilPolCalb1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1381694	1	1
WOLB.0323.00005	Wolbachia/tmp_files/GCF_947251765.1_iyAndDors1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251765.1_iyAndDors1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1366844	1	1
WOLB.0323.00006	Wolbachia/tmp_files/GCF_000376585.1_ASM37658v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_000376585.1_ASM37658v1_genomic.fna_prepare-split5N.fna	1301823	1	1
WOLB.0323.00007	Wolbachia/tmp_files/GCF_947250555.1_ilPanCory1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947250555.1_ilPanCory1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1510263	1	1
WOLB.0323.00008	Wolbachia/tmp_files/GCF_947250645.1_ilEucCana1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947250645.1_ilEucCana1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1407591	1	1
WOLB.0323.00009	Wolbachia/tmp_files/GCF_017896265.1_ASM1789626v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_017896265.1_ASM1789626v1_genomic.fna_prepare-split5N.fna	1267763	1	1
WOLB.0323.00010	Wolbachia/tmp_files/GCF_947251825.1_ilCamBiln1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251825.1_ilCamBiln1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1668205	1	1
WOLB.0323.00011	Wolbachia/tmp_files/GCF_947251505.1_ilThySylv1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251505.1_ilThySylv1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1286255	1	1
WOLB.0323.00012	Wolbachia/tmp_files/GCF_947250725.1_ilParAegt1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947250725.1_ilParAegt1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1332905	1	1
WOLB.0323.00013	Wolbachia/tmp_files/GCF_947251555.1_iyMacEuro1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251555.1_iyMacEuro1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1439111	1	1
WOLB.0323.00014	Wolbachia/tmp_files/GCF_947250705.1_ilArcPodn1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947250705.1_ilArcPodn1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1806406	1	1
WOLB.0323.00015	Wolbachia/tmp_files/GCF_947250505.1_ilPhaBuce1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947250505.1_ilPhaBuce1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1271809	1	1
WOLB.0323.00016	Wolbachia/tmp_files/GCF_947250805.1_ilEndFlam1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947250805.1_ilEndFlam1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1691858	1	1
WOLB.0323.00017	Wolbachia/tmp_files/GCF_947250675.1_ilXesCnig1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947250675.1_ilXesCnig1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1372377	1	1
WOLB.0323.00018	Wolbachia/tmp_files/GCF_947251845.1_iyAthCord1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251845.1_iyAthCord1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1345841	1	1
WOLB.0323.00019	Wolbachia/tmp_files/GCF_023559145.1_ASM2355914v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_023559145.1_ASM2355914v1_genomic.fna_prepare-split5N.fna	1320340	1	1
WOLB.0323.00020	Wolbachia/tmp_files/GCF_947250695.1_idEupLati1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947250695.1_idEupLati1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1274269	1	1
WOLB.0323.00021	Wolbachia/tmp_files/GCF_947250515.1_ilCatPine1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947250515.1_ilCatPine1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1667356	1	1
WOLB.0323.00022	Wolbachia/tmp_files/GCF_013365475.1_ASM1336547v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_013365475.1_ASM1336547v1_genomic.fna_prepare-split5N.fna	863988	1	1
WOLB.0323.00023	Wolbachia/tmp_files/GCF_947251465.1_idMelMell2.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251465.1_idMelMell2.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1875946	1	1
WOLB.0323.00024	Wolbachia/tmp_files/GCF_947251585.1_ioIscEleg1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251585.1_ioIscEleg1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	2192297	1	1
WOLB.0323.00025	Wolbachia/tmp_files/GCF_018491625.2_ASM1849162v2_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_018491625.2_ASM1849162v2_genomic.fna_prepare-split5N.fna	1121812	1	1
WOLB.0323.00026	Wolbachia/tmp_files/GCF_008033215.1_ASM803321v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_008033215.1_ASM803321v1_genomic.fna_prepare-split5N.fna	1401460	1	1
WOLB.0323.00027	Wolbachia/tmp_files/GCF_947251675.1_idMerWest1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251675.1_idMerWest1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1295457	1	1
WOLB.0323.00028	Wolbachia/tmp_files/GCF_000022285.1_ASM2228v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_000022285.1_ASM2228v1_genomic.fna_prepare-split5N.fna	1445873	1	1
WOLB.0323.00029	Wolbachia/tmp_files/GCF_947250785.1_iyAncNigr1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947250785.1_iyAncNigr1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1265149	1	1
WOLB.0323.00030	Wolbachia/tmp_files/GCF_947250615.1_ilRhoNaev1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947250615.1_ilRhoNaev1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1771989	1	1
WOLB.0323.00031	Wolbachia/tmp_files/GCF_018690035.1_ASM1869003v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_018690035.1_ASM1869003v1_genomic.fna_prepare-split5N.fna	1273535	1	1
WOLB.0323.00032	Wolbachia/tmp_files/GCF_947250745.1_ilPolIcar1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947250745.1_ilPolIcar1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1574132	1	1
WOLB.0323.00033	Wolbachia/tmp_files/GCF_947251915.1_iyHylComm1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251915.1_iyHylComm1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1526905	1	1
WOLB.0323.00034	Wolbachia/tmp_files/GCF_947251515.1_idSicFerr1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251515.1_idSicFerr1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1273940	1	1
WOLB.0323.00035	Wolbachia/tmp_files/GCF_947251655.1_ilPheTrem1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251655.1_ilPheTrem1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1268782	1	1
WOLB.0323.00036	Wolbachia/tmp_files/GCF_017896305.1_ASM1789630v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_017896305.1_ASM1789630v1_genomic.fna_prepare-split5N.fna	1267770	1	1
WOLB.0323.00037	Wolbachia/tmp_files/GCF_017896365.1_ASM1789636v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_017896365.1_ASM1789636v1_genomic.fna_prepare-split5N.fna	1267801	1	1
